City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Ruteng,ID,76.42,broken clouds,-8.6136,120.4721,Hotel FX 72
1,Bambous Virieux,MU,76.21,few clouds,-20.3428,57.7575,Casa Tia Villa
2,Mahebourg,MU,76.24,clear sky,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
3,Puerto Ayora,EC,71.55,clear sky,-0.7393,-90.3518,Finch Bay Galapagos Hotel
4,Atuona,PF,79.47,broken clouds,-9.8,-139.0333,Villa Enata
5,Cayenne,GF,76.08,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
6,Augusto Correa,BR,73.47,overcast clouds,-1.0217,-46.635,Fazenda Bacuri
7,Koumac,NC,75.49,overcast clouds,-20.5667,164.2833,Le Monitel
8,Saint George,US,73.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
9,Kapaa,US,77.47,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
10,New Norfolk,AU,72.9,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
11,Arraial Do Cabo,BR,74.82,clear sky,-22.9661,-42.0278,Pousada Porto Praia
12,Todos Santos,MX,65.66,broken clouds,23.45,-110.2167,Hotel California Todos Santos
13,Nova Olimpia,BR,75.47,broken clouds,-14.7972,-57.2881,Motel glamour
14,Ixtapa,MX,74.43,clear sky,20.7,-105.2,hotel la terminal
15,Rikitea,PF,76.96,clear sky,-23.1203,-134.9692,People ThankYou
16,Saint-Philippe,RE,74.21,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
17,Bairnsdale,AU,77.05,overcast clouds,-37.8333,147.6167,Town Central Motel
18,Chilca,PE,65.03,broken clouds,-12.5211,-76.7372,Playa Punta Yaya - Las Salinas
19,East London,ZA,70.41,clear sky,-33.0153,27.9116,Tu Casa
20,Grand-Santi,GF,73.08,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
21,Port Alfred,ZA,67.91,clear sky,-33.5906,26.891,The Halyards Hotel
22,Cabo San Lucas,MX,75.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
23,Fuerte Olimpo,PY,79.5,broken clouds,-21.0415,-57.8738,Hospedaje DAMI
24,Ahipara,NZ,66.78,scattered clouds,-35.1667,173.1667,Ahipara Holiday Park
25,Beyneu,KZ,69.49,broken clouds,45.3167,55.2,NUR
26,Pisco,PE,65.01,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
27,El Alto,PE,69.33,overcast clouds,-4.2714,-81.2147,Black Marlin Restaurant & Hospedaje
28,Codrington,AU,69.12,light rain,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
29,Itarema,BR,75.61,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
30,Bubaque,GW,76.68,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
31,Beterou,BJ,77.31,overcast clouds,9.1992,2.2586,Monastère de Kokoubou
32,Vila Velha,BR,75.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
33,Sinnamary,GF,77.63,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
34,Ondjiva,AO,65.77,few clouds,-17.0667,15.7333,COMBUESA
35,Yaritagua,VE,73.02,overcast clouds,10.08,-69.1261,Hotel Felipa la 13
36,Rio Verde De Mato Grosso,BR,73.42,clear sky,-18.9181,-54.8442,Quedas Palace Hotel
37,Sucua,EC,65.28,overcast clouds,-2.4667,-78.1667,Hotel Orellana
38,Inirida,CO,75.13,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
39,Wodonga,AU,72.97,overcast clouds,-36.1167,146.8833,The Hume Inn Motel
40,Isangel,VU,73.69,moderate rain,-19.55,169.2667,Tanna Lodge
41,Sao Joao Da Barra,BR,75.58,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
42,San Jose De Guanipa,VE,78.28,few clouds,8.8872,-64.1651,HOTEL 283 SUITES
43,Grand Gaube,MU,76.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
44,Cockburn Town,TC,75.47,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
45,Kolondieba,ML,76.64,overcast clouds,11.0882,-6.8926,Hotel Dakan
46,Sambava,MG,73.38,broken clouds,-14.2667,50.1667,Melrose
47,Chickasha,US,72.5,clear sky,35.0526,-97.9364,"Holiday Inn Express & Suites Chickasha, an IHG Hotel"
48,Takoradi,GH,78.08,overcast clouds,4.8845,-1.7554,Raybow International Hotel
49,Sao Felix Do Xingu,BR,73.74,overcast clouds,-6.6447,-51.995,Rio Xingu Camping
50,Abu Kamal,SY,71.65,scattered clouds,34.4506,40.9171,محطة التلفاز
51,Barra Do Garcas,BR,71.58,clear sky,-15.89,-52.2567,Pousada Tropical
52,Sao Filipe,CV,71.28,clear sky,14.8961,-24.4956,Hotel Xaguate
53,San Cristobal,VE,68.18,overcast clouds,7.7669,-72.225,Pirineos
54,Methoni,GR,65.21,overcast clouds,36.8197,21.7049,Methoni Beach Hotel
55,Puerto Leguizamo,CO,71.01,overcast clouds,-0.1934,-74.7819,la casona de juancho
56,Hobart,AU,73.26,moderate rain,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
57,Souillac,MU,71.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
58,Kontagora,NG,78.91,overcast clouds,10.3999,5.4695,Queens Guest Inn
59,Bafq,IR,77.49,broken clouds,31.6128,55.4107,Alamdar Hotel
60,Ambilobe,MG,72.28,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
61,Arlit,NE,77.58,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
