City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Okhotsk,RU,59.3833,143.3,35.15,70,100,15.86,overcast clouds
1,Albany,US,42.6001,-73.9662,42.22,40,0,5.01,clear sky
2,Ruteng,ID,-8.6136,120.4721,76.42,51,77,1.45,broken clouds
3,Esperance,AU,-33.8667,121.9,60.64,63,73,13.02,broken clouds
4,Srednekolymsk,RU,67.45,153.6833,24.17,80,99,6.24,overcast clouds
5,Bambous Virieux,MU,-20.3428,57.7575,76.21,80,11,8.97,few clouds
6,Mahebourg,MU,-20.4081,57.7,76.24,80,9,9.15,clear sky
7,Ushuaia,AR,-54.8,-68.3,40.66,81,40,25.32,scattered clouds
8,Artyom,AZ,40.4723,50.333,60.94,72,1,5.75,clear sky
9,Te Anau,NZ,-45.4167,167.7167,60.48,61,100,1.83,overcast clouds
10,Sabang,ID,5.8933,95.3214,84.31,71,99,9.37,overcast clouds
11,Mataura,NZ,-46.1927,168.8643,58.48,63,34,0.89,scattered clouds
12,Vaini,TO,-21.2,-175.2,80.76,65,75,12.66,broken clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,71.55,92,4,6.22,clear sky
14,Bluff,NZ,-46.6,168.3333,58.8,69,56,4.27,broken clouds
15,Atuona,PF,-9.8,-139.0333,79.47,74,72,19.89,broken clouds
16,Kavaratti,IN,10.5669,72.642,84.76,75,83,5.44,broken clouds
17,Batagay-Alyta,RU,67.8006,130.4114,20.75,78,31,4.74,scattered clouds
18,Pandharpur,IN,17.6667,75.3333,92.91,32,4,15.14,clear sky
19,Waipawa,NZ,-41.4122,175.5153,56.95,61,7,8.16,clear sky
20,Cayenne,GF,4.9333,-52.3333,76.08,1,75,0.0,broken clouds
21,Ternate,ID,0.8,127.4,84.25,69,95,5.01,overcast clouds
22,Laela,TZ,-8.5667,32.05,58.41,94,91,6.15,overcast clouds
23,Jamestown,US,42.097,-79.2353,35.71,60,0,3.44,clear sky
24,Nawabganj,BD,24.5911,88.271,94.28,46,0,10.6,clear sky
25,Augusto Correa,BR,-1.0217,-46.635,73.47,98,94,2.82,overcast clouds
26,Norman Wells,CA,65.282,-126.8329,35.65,73,100,5.57,overcast clouds
27,Koumac,NC,-20.5667,164.2833,75.49,77,100,10.13,overcast clouds
28,Tasiilaq,GL,65.6145,-37.6368,28.56,84,68,5.37,broken clouds
29,Mortka,RU,59.3322,66.0214,37.04,88,100,10.42,overcast clouds
30,Castro,BR,-24.7911,-50.0119,61.93,90,100,3.36,overcast clouds
31,Sangar,RU,63.9242,127.4739,31.89,74,12,4.41,few clouds
32,Hilo,US,19.7297,-155.09,82.27,81,40,8.05,scattered clouds
33,Saint George,US,37.1041,-113.5841,73.99,6,0,10.36,clear sky
34,Sitka,US,57.0531,-135.33,49.89,62,40,11.5,scattered clouds
